id,no_mask,yes_mask 
18055,0.207,0.793
18057,0.17,0.83
18059,0.274,0.726
18061,0.383,0.617
18063,0.219,0.78
18065,0.456,0.545
18067,0.274,0.727
18069,0.385,0.615
18071,0.3,0.7
18073,0.351,0.649
18075,0.437,0.563
18077,0.52,0.48
18079,0.372,0.627
18081,0.251,0.749
18083,0.404,0.597
18085,0.309,0.691
18087,0.312,0.688
18089,0.188,0.811
18091,0.327,0.672
18093,0.318,0.682
18095,0.296,0.704
18097,0.22,0.78
18099,0.382,0.618
18101,0.228,0.773
18103,0.432,0.569
18105,0.168,0.833
18107,0.354,0.646
18109,0.327,0.673
18111,0.347,0.654
18113,0.302,0.697
18115,0.318,0.682
18117,0.255,0.745
18119,0.219,0.782
18121,0.401,0.6
18123,0.206,0.794
18125,0.304,0.695
18127,0.258,0.743
18129,0.303,0.698
18131,0.525,0.476
18133,0.441,0.56
18135,0.486,0.515
18137,0.278,0.723
18139,0.314,0.687
18141,0.173,0.826
18143,0.277,0.723
18145,0.394,0.606
18147,0.255,0.745
18149,0.416,0.584
18151,0.299,0.701
18153,0.275,0.724
18155,0.423,0.578
18157,0.278,0.722
18159,0.204,0.796
18161,0.254,0.747
18163,0.224,0.776
18165,0.352,0.649
18167,0.284,0.716
18169,0.417,0.583
18171,0.286,0.715
18173,0.2,0.8
18175,0.233,0.767
18177,0.39,0.609
18179,0.332,0.669
18181,0.427,0.573
18183,0.379,0.62
19001,0.329,0.671
19003,0.408,0.592
19005,0.319,0.681
19007,0.393,0.606
19009,0.491,0.509
19011,0.295,0.704
19013,0.265,0.736
19015,0.27,0.73
19017,0.307,0.692
19019,0.232,0.767
19021,0.505,0.495
19023,0.354,0.647
19025,0.542,0.457
19027,0.504,0.497
19029,0.535,0.465
19031,0.264,0.736
19033,0.572,0.428
19035,0.509,0.491
19037,0.408,0.592
19039,0.388,0.612
19041,0.371,0.63
19043,0.344,0.655
19045,0.301,0.699
19047,0.275,0.724
19049,0.256,0.745
19051,0.388,0.612
19053,0.638,0.362
19055,0.309,0.691
19057,0.325,0.675
19059,0.394,0.606
19061,0.381,0.619
19063,0.391,0.609
19065,0.257,0.743
19067,0.482,0.518
19069,0.553,0.447
19071,0.18,0.82
19073,0.492,0.507
19075,0.283,0.718
19077,0.378,0.623
19079,0.39,0.61
19081,0.61,0.39
19083,0.344,0.655
19085,0.256,0.743
19087,0.356,0.644
19089,0.404,0.596
19091,0.658,0.342
19093,0.493,0.508
19095,0.311,0.689
19097,0.357,0.643
19099,0.44,0.559
19101,0.411,0.589
19103,0.127,0.873
19105,0.31,0.691
19107,0.448,0.552
19109,0.554,0.445
19111,0.447,0.553
19113,0.235,0.764
19115,0.305,0.696
19117,0.432,0.569
19119,0.408,0.591
19121,0.248,0.752
19123,0.43,0.57
19125,0.311,0.689
19127,0.294,0.706
19129,0.239,0.762
19131,0.477,0.523
19133,0.234,0.767
19135,0.368,0.632
19137,0.336,0.664
19139,0.363,0.637
19141,0.494,0.506
19143,0.479,0.521
19145,0.209,0.791
19147,0.403,0.598
19149,0.436,0.564
19151,0.5,0.5
19153,0.269,0.732
19155,0.345,0.654
19157,0.453,0.547
19159,0.563,0.437
19161,0.537,0.462
19163,0.228,0.771
19165,0.34,0.661
19167,0.465,0.535
19169,0.191,0.809
19171,0.328,0.672
19173,0.426,0.574
19175,0.327,0.672
19177,0.41,0.59
